55867.18381,0.223,27.6,4.8,10.3,1594.075,66.5,85.99,7.0973,71,73.8,0.8,8.2,7.665,0.84
53287.15361,0.228,26.1,6.3,10,1624.552,58.2,87.07,6.8591,73,69.6,0.79,7.64,7.279,0.94
26961.10608,0.1626,21.9,3.9,17.9,94.623,51.9,73.51,5.4661,43,71,0.55,6.53,4.972,0.95
34302.11322,0.1907,24.2,4.8,14.8,248.385,60.2,75.7,6.125,50,67.6,0.61,6.5,4.916,0.86
44996.00391,0.2065,13.5,5.1,8,234.883,58,77.76,6.13,52,72.9,0.68,7.38,5.838,0.75
41052.33252,0.2293,28,4.9,11.3,515.979,59.9,81.67,6.8452,56,74.4,0.73,7.97,6.401,0.94
59935.11992,0.1869,37.2,5.3,10.1,1873.151,77.9,88.86,7.5864,90,78,0.9,9.28,7.806,0.98
37711.81883,0.1755,27.4,5.8,12.8,481.859,61.4,85.36,6.4552,74,80,0.82,7.96,6.731,0.97
49275.15378,0.2353,24.4,5.5,11.4,1430.381,76.5,89.26,7.8042,87,78.3,0.87,9.29,8.173,0.96
45904.4113,0.2034,22.6,5.2,9.9,845.927,62.5,85.09,6.6613,72,65.9,0.73,8.07,6.783,0.92
53969.62555,0.2004,29.1,4.5,12.7,1458.911,62.4,89.97,6.8918,79,76.1,0.83,8.8,7.469,0.98
31704.42561,0.2047,10.2,3.8,13.4,294.922,56.2,73.97,5.9309,52,61.5,0.61,7.97,4.814,0.65
35356.78153,0.2136,25.6,5.1,14.2,242.627,55.1,78.26,6.0412,42,66.9,0.52,6.64,5.417,0.56
112445.421,0.1668,35,2.7,6.8,963.179,57.4,85.45,6.9108,77,82,0.81,9.13,7.202,0.88
44292.19118,0.1569,21.1,4.1,12.1,439.014,57.7,75.13,6.4045,56,65.4,0.67,7.69,5.658,0.95
32992.45045,0.1855,21.1,5.3,16.4,156.008,61.1,83.44,6.2127,59,74.8,0.72,7.37,5.943,0.8
39955.33641,0.081,21.4,4.9,15.1,246.145,55.9,79.37,6.763,62,75.8,0.76,7.31,6.048,0.97
117746.9896,0.2065,18.5,4.7,6.8,1173.062,72.3,87.98,7.2279,77,80.6,0.83,8.81,7.889,0.91
48641.516,0.194,26.7,5,8,228.015,75.2,78.54,6.2999,51,71.5,0.68,7.7,5.778,0.71
59249.167,0.2094,30.5,5.1,9.6,1251.255,62.6,88.39,7.403,80,79.5,0.83,9,7.777,0.97
37706.60613,0.1964,19.6,4.6,12.2,253.341,50.6,78.55,6.2597,55,68.7,0.64,7.04,5.414,0.7
35767.72258,0.1964,19.1,4.3,11.9,398.388,50.4,81.98,5.968,62,70.8,0.69,7.95,6.214,0.86
32495.68597,0.17,17.4,3.2,14.3,68.469,56,71.27,6.5891,46,67.1,0.63,6.45,5.476,0.68
33176.18457,0.2496,15.5,4.5,11,197.802,60,78.31,6.4686,53,69.7,0.66,7.07,5.679,0.93
41015.22523,0.2212,23.5,5.6,10.6,570.452,67.3,80.98,6.6499,56,70.5,0.68,7.75,6.002,0.91
40223.01254,0.2008,22.1,4.4,9.7,407.413,56.6,80.87,6.4362,60,68.2,0.73,8.07,6.245,0.83
55359.34265,0.2221,33.4,7.1,9,1831.83,72.7,89.19,7.3952,83,77.9,0.86,9.88,7.601,0.99
